hostname,tic_id,st_teff,st_tefferr1,st_tefferr2,st_rad,st_raderr1,st_raderr2,st_mass,st_masserr1,st_masserr2
AU Mic,441420236.0,3678.0,90.0,-88.0,0.744,0.023,-0.021,0.51,0.028,-0.027
TOI-1062,299799658.0,5328.0,56.0,-56.0,0.84,0.09,-0.09,0.94,0.02,-0.02
HIP 67522,166527623.0,5675.0,75.0,-75.0,1.38,0.06,-0.06,1.22,0.05,-0.05
Gl 49,256419669.0,3805.0,51.0,-51.0,0.511,0.018,-0.018,0.515,0.019,-0.019
HD 163607,232620788.0,5522.0,,,1.76,,,1.12,,
TOI-4603,437856897.0,6264.0,95.0,-94.0,2.738,0.048,-0.05,1.765,0.061,-0.061
Proxima Cen,388857263.0,2900.0,100.0,-100.0,0.141,0.021,-0.021,0.1221,0.0022,-0.0022
61 Vir,422478973.0,5577.0,33.0,-33.0,0.963,0.011,-0.011,0.942,0.034,-0.029
Barnard''s star,325554331.0,3195.0,28.0,-28.0,0.185,0.006,-0.006,0.162,0.007,-0.007
BD-08 2823,33355302.0,4746.0,63.0,-63.0,0.71,0.04,-0.04,0.74,0.07,-0.07
BD-10 3166,148563075.0,5393.0,44.0,-44.0,0.91,0.04,-0.04,1.47,0.24,-0.24
CD Cet,328465904.0,3130.0,51.0,-51.0,0.175,0.006,-0.006,0.161,0.01,-0.01
CoRoT-1,36352297.0,5950.0,150.0,-150.0,1.11,0.05,-0.05,0.95,0.15,-0.15
CoRoT-13,281909674.0,5945.0,90.0,-90.0,1.01,0.03,-0.03,1.09,0.02,-0.02
CoRoT-2,391958006.0,5625.0,120.0,-120.0,0.906,0.026,-0.027,0.96,0.08,-0.08
CoRoT-21,280420719.0,6200.0,100.0,-100.0,1.95,0.21,-0.21,1.29,0.09,-0.09
CoRoT-22,323094535.0,5939.0,54.0,-120.0,1.136,0.038,-0.09,1.099,0.049,-0.049
CoRoT-3,392353449.0,6740.0,140.0,-140.0,1.56,0.09,-0.09,1.37,0.09,-0.09
CoRoT-4,36440357.0,6190.0,60.0,-60.0,1.17,0.01,-0.03,1.16,0.03,-0.02
CoRoT-7,280304863.0,5275.0,75.0,-75.0,0.83,0.04,-0.04,0.82,0.17,-0.17
DMPP-4,26884478.0,6400.0,50.0,-50.0,1.38,0.01,-0.01,1.25,0.02,-0.02
EPIC 201170410,38116202.0,3648.0,172.0,-143.0,0.282,0.074,-0.069,0.287,0.101,-0.084
EPIC 201757695,380546118.0,4520.0,108.0,-54.0,0.655,0.041,-0.045,0.727,0.044,-0.053
EPIC 201841433,380583651.0,5053.0,103.0,-166.0,0.628461,0.04342,-0.024858,0.802,0.081,-0.163
EPIC 220674823,266015990.0,5578.0,46.0,-46.0,0.99,0.012,-0.012,0.913,0.024,-0.024
EPIC 246851721,411839167.0,6202.0,52.0,-50.0,1.586,0.034,-0.033,1.317,0.041,-0.04
G264-012,,,,,,,,,,
G9-40,,,,,,,,,,
Gaia-2,147797743.0,5720.0,84.0,-84.0,1.064,0.031,-0.031,1.0,0.095,-0.095
GJ 1002,176287658.0,3024.0,52.0,-52.0,0.137,0.005,-0.005,0.12,0.01,-0.01
GJ 1061,79611981.0,2953.0,98.0,-98.0,0.156,0.005,-0.005,0.12,0.01,-0.01
GJ 1132,101955023.0,3229.0,78.0,-62.0,0.2211,0.0069,-0.0081,0.1945,0.0048,-0.0046
GJ 1252,370133522.0,3458.0,140.0,-133.0,0.391,0.02,-0.02,0.381,0.019,-0.019
GJ 15A,,,,,,,,,,
GJ 163,219221189.0,3500.0,100.0,-100.0,0.409738,0.012214,-0.012214,0.4,0.02,-0.02
GJ 180,246902275.0,3371.0,,,0.413049,0.012311,-0.012311,0.43,,
GJ 2030,9967949.0,5485.0,103.89,-94.4,2.24104,0.097217,-0.094059,0.96,0.125,-0.125
GJ 238,260708537.0,3485.0,140.0,-140.0,0.4314,0.0075,-0.0071,0.4193,0.0095,-0.0098
GJ 251,68581262.0,3342.0,24.0,-24.0,0.36,0.01,-0.01,0.35,0.05,-0.04
GJ 27.1,80417903.0,3542.0,,,0.518887,0.015756,-0.015756,0.53,,
GJ 273,318686860.0,3382.0,49.0,-49.0,0.293,0.027,-0.027,0.29,,
GJ 3082,206548902.0,3910.0,90.0,-147.0,0.465216,0.01391,-0.01391,0.47,,
GJ 3090,262530407.0,3707.0,32.0,-32.0,0.516,0.016,-0.016,0.519,0.013,-0.013
GJ 3138,632528291.0,3717.0,49.0,-49.0,0.5,0.03,-0.03,0.681,,
GJ 3222,160004049.0,5257.46,,,0.931389,,,0.89,0.114,-0.114
GJ 3323,43605290.0,3159.0,49.0,-49.0,0.119,0.027,-0.027,0.164,,
GJ 3470,19028197.0,3600.0,100.0,-100.0,0.547,0.018,-0.018,0.539,0.047,-0.043
GJ 357,413248763.0,3505.0,51.0,-51.0,0.337,0.015,-0.015,0.342,0.011,-0.011
GJ 3634,49064384.0,3517.0,157.0,-157.0,0.43,0.03,-0.03,0.45,0.05,-0.05
GJ 367,34068865.0,3522.0,70.0,-70.0,0.458,0.013,-0.013,0.455,0.011,-0.011
GJ 3929,188589164.0,3384.0,88.0,-88.0,0.32,0.01,-0.01,0.313,0.027,-0.022
GJ 393,277888583.0,3579.0,51.0,-51.0,0.426,0.013,-0.013,0.426,0.017,-0.017
GJ 3942,162494287.0,3867.0,69.0,-69.0,0.61,0.06,-0.06,0.63,0.07,-0.07
GJ 3988,274626553.0,3273.0,101.0,-101.0,0.19734,0.01219,-0.01219,0.1842,0.0153,-0.0153
GJ 422,450545735.0,3323.0,,,0.370328,0.011469,-0.011469,0.35,,
GJ 433,57654763.0,3461.0,150.0,-150.0,0.5,0.04,-0.04,0.48,,
GJ 436,138819293.0,3586.11,36.37,-36.37,0.455,0.018,-0.018,0.47,0.07,-0.07
GJ 536,119147875.0,3641.0,88.0,-88.0,0.529,0.022,-0.022,0.528,0.027,-0.027
GJ 581,36853511.0,3500.0,26.0,-26.0,0.302,0.005,-0.005,0.295,0.01,-0.01
GJ 625,207492082.0,3499.0,68.0,-68.0,0.31,0.06,-0.06,0.3,0.07,-0.07
GJ 674,218263393.0,3600.0,100.0,-100.0,0.36463,0.0108,-0.0108,0.35,,
GJ 682,16909043.0,3028.0,,,0.298255,0.008912,-0.008912,0.27,,
GJ 724,424934357.0,3799.0,81.0,-81.0,0.52226,0.02234,-0.02234,0.5271,0.0263,-0.0263
GJ 740,227642705.0,3913.0,51.0,-51.0,0.56,0.06,-0.06,0.58,0.06,-0.06
GJ 806,239332587.0,3600.0,16.0,-16.0,0.4144,0.0038,-0.0038,0.413,0.011,-0.011
GJ 887,155315739.0,3688.0,86.0,-86.0,0.468,0.022,-0.022,0.495,0.049,-0.049
GJ 9404,328860504.0,3811.0,,,0.626041,0.018869,-0.018869,0.62,0.07,-0.07
GJ 9689,87942223.0,3836.0,69.0,-69.0,0.57,0.06,-0.06,0.59,0.06,-0.06
Gl 378,252470070.0,3879.0,67.0,-67.0,0.56,0.02,-0.02,0.56,0.01,-0.01
Gl 686,230241767.0,3656.0,51.0,-51.0,0.427,0.013,-0.013,0.426,0.017,-0.017
Gliese 12,52005579.0,3328.0,78.0,-78.0,0.265,0.012,-0.012,0.255,0.013,-0.013
HAT-P-1,346338552.0,5980.0,49.0,-49.0,1.174,0.026,-0.027,1.151,0.052,-0.051
HAT-P-11,28230919.0,4653.0,33.0,-35.0,0.683,0.009,-0.009,0.811,0.03,-0.03
HAT-P-12,198108326.0,4650.0,60.0,-60.0,0.701,0.017,-0.012,0.733,0.018,-0.018
HAT-P-17,266593143.0,5246.0,80.0,-80.0,0.87,0.04,-0.04,0.99,0.15,-0.15
HAT-P-20,26826078.0,4595.0,80.0,-80.0,0.694,0.021,-0.021,0.756,0.028,-0.028
HAT-P-21,17993892.0,5588.0,80.0,-80.0,1.21,0.17,-0.17,1.24,0.6,-0.6
HAT-P-22,252479260.0,5302.0,80.0,-80.0,1.11,0.05,-0.05,1.13,0.22,-0.22
