toi_id,hostname,st_teff,st_tefferr1,st_tefferr2,st_rad,st_raderr1,st_raderr2
1009.0,TOI 1009,8868.7,809.8,809.8,,,
1001.0,TOI 1001,7070.0,126.4,126.4,2.01,0.09,0.09
1007.0,TOI 1007,6596.0,139.2,139.2,2.7,0.13,0.13
1012.0,TOI 1012,8928.0,128.7,128.7,2.72,0.13,0.13
1019.0,TOI 1019,7645.0,134.4,134.4,1.56203,0.0481257,0.0481257
1025.0,TOI 1025,8598.7,1245.7,1245.7,,,
1027.0,TOI 1027,4272.0,122.7,122.7,0.68,0.06,0.06
1035.0,TOI 1035,5964.0,128.4,128.4,2.4303801,0.151568,0.151568
1036.0,TOI 1036,5771.0,132.3,132.3,1.18,0.06,0.06
1039.0,TOI 1039,,,,,,
1032.0,TOI 1032,10395.0,320.6,320.6,2.3383701,0.109357,0.109357
1044.0,TOI 1044,5215.2,1166.8,1166.8,,,
1056.0,TOI 1056,6124.3,83.0,83.0,1.36963,0.0633668,0.0633668
1058.0,TOI 1058,5785.0,189.0,189.0,3.4475601,0.174417,0.174417
1042.0,TOI 1042,9917.0,199.6,199.6,3.5086601,0.120121,0.120121
1059.0,TOI 1059,5509.0,186.0,186.0,0.94,0.06,0.06
1060.0,TOI 1060,5687.9,76.0,76.0,1.14,0.07,0.07
1080.0,TOI 1080,3296.0,64.0,64.0,0.199988,0.0059812,0.0059812
1063.0,TOI 1063,5552.0,187.0,187.0,0.791742,0.0453065,0.0453065
1077.0,TOI 1077,5192.0,182.0,182.0,0.984326,,
1083.0,TOI 1083,3614.0,64.0,64.0,0.491323,0.0146852,0.0146852
1086.0,TOI 1086,5818.0,190.0,190.0,2.0840001,0.106131,0.106131
1085.0,TOI 1085,6102.0,193.0,193.0,1.28,,
1091.0,TOI 1091,7348.0,133.8,133.8,2.39,0.09,0.09
1106.0,TOI 1106,5042.0,122.0,122.0,4.94,,
1103.0,TOI 1103,4437.0,124.0,124.0,3.13,,
1114.0,TOI 1114,8048.0,,,,,
1116.0,TOI 1116,5551.0,187.0,187.0,0.906282,0.048892,0.048892
1117.0,TOI 1117,5731.0,132.8,132.8,1.02,0.05,0.05
1124.0,TOI 1124,6690.0,119.9,119.9,1.49,0.07,0.07
1131.0,TOI 1131,5579.0,135.4,135.4,2.39803,0.136922,0.136922
1125.0,TOI 1125,8271.0,143.9,143.9,2.5027299,0.0856759,0.0856759
1137.0,TOI 1137,4919.6,59.0,59.0,6.3070302,,
1139.0,TOI 1139,7947.0,323.7,323.7,1.83,0.06,0.06
1149.0,TOI 1149,8737.5,1310.6,1310.6,,,
1153.0,TOI 1153,6528.3,179.4,179.4,1.69,0.06,0.06
1162.0,TOI 1162,8730.0,979.1,979.1,,,
1163.0,TOI 1163,9311.3,708.9,708.9,,,
1169.0,TOI 1169,6134.3,420.6,420.6,1.24,0.16,0.16
1174.0,TOI 1174,5029.5,59.9,59.9,0.76,0.05,0.05
1180.0,TOI 1180,4738.1,139.3,139.3,0.73,0.05,0.05
1176.0,TOI 1176,6557.7,83.3,83.3,1.57435,0.0662061,0.0662061
1179.0,TOI 1179,4927.9,85.3,85.3,0.78,0.05,0.05
1184.0,TOI 1184,4534.0,127.6,127.6,0.69,0.06,0.06
1186.0,TOI 1186,6115.7,343.6,343.6,2.01,0.09,0.09
1187.0,TOI 1187,6389.0,124.4,124.4,1.4,0.07,0.07
1189.0,TOI 1189,5286.9,447.0,447.0,,,
119.0,TOI 119,5332.0,184.0,184.0,0.82,0.05,0.05
1190.0,TOI 1190,7106.7,186.5,186.5,1.63,0.07,0.07
1194.0,TOI 1194,5339.9,155.2,155.2,0.99,0.06,0.06
1196.0,TOI 1196,6689.0,154.1,154.1,2.06,0.1,0.1
1197.0,TOI 1197,7649.0,290.1,290.1,2.12,0.07,0.07
1204.0,TOI 1204,6711.0,201.0,201.0,1.7756799,0.0832613,0.0832613
1207.0,TOI 1207,6282.0,196.0,196.0,1.10743,0.050495,0.050495
1205.0,TOI 1205,6090.0,193.0,193.0,4.1956,0.181862,0.181862
1208.0,TOI 1208,5626.0,188.0,188.0,0.823019,0.0405528,0.0405528
1215.0,TOI 1215,3751.0,68.0,68.0,0.518,0.077,0.077
1216.0,TOI 1216,4280.0,171.0,171.0,0.635812,0.0770502,0.0770502
1218.0,TOI 1218,5455.96,48.9052,48.9052,1.01825,0.0517361,0.0517361
1219.0,TOI 1219,6734.0,202.0,202.0,1.59,0.06,0.06
1222.0,TOI 1222,6082.0,193.0,193.0,1.32661,0.0595629,0.0595629
1224.0,TOI 1224,3442.0,64.0,64.0,0.404403,0.0120014,0.0120014
1226.0,TOI 1226,5668.15,125.0,125.0,0.986943,0.0490577,0.0490577
1232.0,TOI 1232,5739.0,189.0,189.0,1.09597,0.0537437,0.0537437
1238.0,TOI 1238,3853.0,157.0,157.0,0.62326,0.0182128,0.0182128
124.0,TOI 124,5080.0,181.0,181.0,4.09,,
1241.0,TOI 1241,5826.0,155.529,155.529,2.3387201,0.172542,0.172542
1242.0,TOI 1242,4255.0,128.2,128.2,0.71,0.07,0.07
1243.0,TOI 1243,3489.0,157.0,157.0,0.490729,0.014421,0.014421
1244.0,TOI 1244,4599.0,123.0,123.0,0.720551,0.0534824,0.0534824
1245.0,TOI 1245,3692.0,157.0,157.0,0.52,0.02,0.02
1249.0,TOI 1249,5453.0,117.875,117.875,1.0,0.05,0.05
