hostname,tic_id,planet_letter,period,peri_epoch,omega_st,transit_epoch,comp_peri_epoch,a,e,pl_orbper,pl_tranmid,pl_trandur,transit_duration
AU Mic,441420236.0,c,18.859018,2458324.0,153.0,2458342.2239,2459460.906897685,0.1101,0.02219,,,,
AU Mic,441420236.0,b,8.46308,2458322.77,88.4792,2458330.390655,2459037.088905753,0.0645,0.04,,,,
AU Mic,441420236.0,d,12.73596,,160.7894,0.0,,0.0,0.00305,,,,
AU Mic,441420236.0,e,33.25,,0.0,2459118.5,,0.0,,,,,
61 Vir,422478973.0,c,38.05835,,160.5,2454922.48,2454932.8387775635,0.2163,0.104,,,,
61 Vir,422478973.0,d,123.01,,314.0,0.0,,0.476,0.35,,,,
61 Vir,422478973.0,b,4.2149350000000005,,62.5,2455200.7,2455198.9876014725,0.0498805,0.1095,,,,
CD Cet,328465904.0,b,2.2907,2458804.489,0.0,0.0,,0.0185,,,,,
CoRoT-13,281909674.0,b,4.03519,,0.0,2456630.81331,2459224.4113232195,0.051,0.0335,,,,
CoRoT-18,37168957.0,b,1.9000731,,0.0,2455321.72565,2459225.9659897657,0.02915,0.0525,,,,
CoRoT-19,42821097.0,b,3.89713,,0.0,2455701.7154,2459223.8162747417,0.05166,0.0515,,,,
CoRoT-2,391958006.0,b,1.74299673,2454237.53562,102.0,2455628.44758,2459772.3641583603,0.0281,0.00715,,,,
CoRoT-21,280420719.0,b,2.72474,,0.0,2454399.0286,2454398.515862745,0.04165,0.195,,,,
CoRoT-22,323094535.0,b,9.75598,,210.0,2454598.42014,2454599.845032927,0.092,0.077,,,,
CoRoT-24,36105482.0,c,11.759,,0.0,2454795.3803,2454792.44055,0.098,0.0,,,,
CoRoT-24,36105482.0,b,5.1134,,0.0,2454789.611,2454788.33265,0.056,0.0,,,,
CoRoT-3,392353449.0,b,4.2567994,,0.0,2454283.13388,2454282.0849398854,0.0574,0.008,,,,
DMPP-4,26884478.0,b,3.4982,,200.0,2457139.9,2457140.515372864,0.04853,0.063,,,,
EPIC 201170410,38116202.0,b,6.7987,,0.0,2456813.1485,2456811.4488250003,0.0349,0.0,,,,
EPIC 201757695,380546118.0,b,2.0478,,0.0,2456811.637,2456811.12505,0.0296,0.0,,,,
EPIC 201841433,380583651.0,b,4.16959,,0.0,2456811.6359,,0.035,,,,,
EPIC 246851721,411839167.0,b,6.18026138745,2457858.93009,0.0,2458439.87506,,0.07229,,,,,
GJ 1002,176287658.0,c,21.202,,0.0,2458585.54,,0.0738,,,,,
GJ 1002,176287658.0,b,10.3465,,0.0,2458583.27,,0.0457,,,,,
GJ 1061,79611981.0,c,6.689,2458300.2,88.0,0.0,,0.035,0.29,,,,
GJ 1061,79611981.0,d,13.031,2458306.4,157.0,0.0,,0.054,0.53,,,,
GJ 1061,79611981.0,b,3.204,2458300.61,145.0,0.0,,0.021,0.31,,,,
GJ 1132,101955023.0,c,8.929,,0.0,0.0,,0.0476,0.27,,,,
GJ 1132,101955023.0,b,1.6289302,2459280.149,-95.8,2458031.60114,2459281.015510979,0.01533,0.0118,,,,
GJ 1252,370133522.0,b,0.5182416999999999,,90.0,2458668.09746,2459060.1473391503,0.009155,0.0,,,,
GJ 163,219221189.0,b,8.63182,2455042.553,70.7,0.0,,0.0607,0.073,,,,
GJ 163,219221189.0,d,603.95116,2455275.0,118.3,0.0,,1.0304,0.373,,,,
GJ 163,219221189.0,c,25.63058,2455057.7,227.0,0.0,,0.1254,0.099,,,,
GJ 180,246902275.0,b,17.2565,,143.0,0.0,,0.0975,0.09,,,,
GJ 180,246902275.0,d,106.3,,155.0,0.0,,0.309,0.14,,,,
GJ 180,246902275.0,c,24.329,,230.0,0.0,,0.129,0.09,,,,
GJ 2030,9967949.0,b,2.38129,2452938.17,196.716,0.0,,0.034,0.239,,,,
GJ 2030,9967949.0,c,25533.11353,2441013.547,205.126,0.0,,16.761,0.041,,,,
GJ 238,260708537.0,b,1.74470005932,,0.0,2459536.0595495,,0.02123,,,,,
