Host_ID,p_KU,p_KS,p_AD,p_KS_Samp,p_AD_Samp,N
G_219101992_kappa_0.5_41,0.35917799204880785,0.754163952841458,0.7777912882373808,0.4003503345087077,0.42158780651778444,8
G_219101992_kappa_0_19,0.43793956448666427,0.23799430467753568,0.4488617994944992,0.42718076562695523,0.4646650939332023,5
G_219101992_kappa_0.25_19,0.007462411525465523,0.07976848706349493,0.0965814410877085,0.07490782149265847,0.08709363606577897,8
G_219101992_kappa_4_7,0.04189307762172427,0.17217770097445195,0.2514661820631744,0.11932724902868619,0.11897852434382383,7
G_219101992_kappa_8_0,0.002443959228538762,0.14826826219910882,0.15535481597502565,0.04290788249196788,0.03728224719673115,6
G_219101992_kappa_1_2,0.009526706896972026,0.061648034430037635,0.08214973254246583,0.056285539382087586,0.04155027264108667,7
G_219101992_kappa_0.5_1,0.1301604198460897,0.11935188570080624,0.26551869177280485,0.21087422630063243,0.23230381670186534,6
G_219101992_kappa_8_39,0.00945010356305885,0.30530482764378974,0.27484313366546487,0.1227082954479481,0.16494800783482877,5
G_219101992_kappa_0_21,0.9368308408304057,0.7461512863284845,0.6893293763821597,0.7956254783188969,0.7498418135631715,5
G_219101992_kappa_4_17,0.04984692360874445,0.3225312430846048,0.27231550358672185,0.09743670719495161,0.08150546051809276,5
G_219101992_kappa_0.5_33,0.1282803742902908,0.4440899568579221,0.43817861086472887,0.20255005448316393,0.21574683288146002,5
G_219101992_kappa_2_18,0.08981184013268895,0.42102719895433593,0.3705848262935315,0.2006783932883107,0.1972379598316064,6
G_219101992_kappa_8_38,0.00023605277429665993,0.13349541908978657,0.09829763212976195,0.013811095206456608,0.021681406132128746,7
G_219101992_kappa_0_36,0.16143430124614472,0.32693688840788737,0.5168098780820608,0.34660536620908927,0.37691974262031686,5
G_219101992_kappa_0_5,0.1387001927286619,0.4849207948356098,0.4967581470729384,0.26832925511153305,0.34752296486265233,7
G_219101992_kappa_4_39,0.0015647351300713984,0.16229848979012407,0.15861470339701533,0.03874009643572249,0.0430555289166277,6
G_219101992_kappa_8_28,0.00039998690308866674,0.09360097422800084,0.12367793419927464,0.03006009206176125,0.04925001928643113,6
G_219101992_kappa_2_16,0.0199264006546134,0.12174018689697008,0.24815677249160273,0.10603046143194682,0.13036838760180658,5
G_219101992_kappa_4_49,0.00016635895076407112,0.16465212072605584,0.15097712009291908,0.05895871284578723,0.0978050156514613,5
G_219101992_kappa_8_43,0.05724683174785642,0.1346329710156846,0.2646899556864909,0.09430885543268053,0.10563642652884528,5
G_219101992_kappa_0.5_34,0.2567582523420302,0.19693588113365235,0.2653112496215114,0.36454134650355097,0.3806969115792059,6
G_219101992_kappa_4_23,0.09080227653487041,0.44540201570774274,0.4092312488275548,0.1665197336699645,0.18187690747995267,6
G_219101992_kappa_1_37,0.14262237132224148,0.07140505507259476,0.19321332717746798,0.23929764750567828,0.28861331335270174,8
G_219101992_kappa_8_34,0.0022936601824791536,0.146999436890227,0.1639258259144637,0.048823897160359016,0.06567329969555734,6
G_219101992_kappa_0.5_18,0.10713662191823099,0.20683010024343773,0.350603964862894,0.28506033946688963,0.2942969625720607,5
G_219101992_kappa_8_7,0.00011726379683604446,0.12164664862666363,0.08477032803351647,0.010000079876749416,0.018401945183872163,7
G_219101992_kappa_0.25_15,0.38936361186636603,0.5426797693260885,0.7119135650681365,0.4661217148082439,0.5033503406236557,6
G_219101992_kappa_0_40,0.47053670447593793,0.2842463221180058,0.32358479019668795,0.49922686882078265,0.4412558626842097,8
G_219101992_kappa_1_3,0.033188536316410715,0.16804981149304754,0.2375122224532481,0.12983853655966304,0.13665389214816345,5
G_219101992_kappa_0.25_2,0.5142329848669143,0.8697149084914279,0.6728647956954741,0.49973438191030056,0.47456330344733216,8
G_219101992_kappa_0_23,0.02785911363128712,0.003486651343147087,0.002123383572357307,0.12382348758863254,0.13938864871941395,5
G_219101992_kappa_8_2,0.002227238336312168,0.2323801224600519,0.18476912694513692,0.05289987523809599,0.07912706706852242,5
G_219101992_kappa_2_37,0.0009645345234996065,0.11987856674036901,0.11247480856061476,0.06220320483103363,0.06900950964821201,7
G_219101992_kappa_0.25_1,0.4623289808260973,0.13433044954344475,0.08676090617812005,0.5300606466320122,0.5286315005046465,5
G_219101992_kappa_0.25_18,0.879091312555158,0.7873699936775036,0.8810727232153196,0.8135183049126752,0.773341309828926,7
G_219101992_kappa_2_45,0.00011048603791241446,0.05181599364132201,0.11340799588461836,0.02267381976998768,0.038863366535069534,5
G_219101992_kappa_8_47,0.0004057187679923322,0.1527126753386474,0.16898279570744512,0.04938422554495063,0.07873739240200123,5
G_219101992_kappa_0_15,0.16405387524260845,0.17289017425119935,0.2716952886543691,0.2563928485302343,0.30698991364576156,5
G_219101992_kappa_8_36,0.07922249919214397,0.2081627420798451,0.3752041892159276,0.20651838219839228,0.21218715577932865,5
G_219101992_kappa_8_25,0.004014674101098497,0.26211385794006326,0.1946942417694819,0.02710074403702255,0.04883690470840757,5
G_219101992_kappa_4_0,0.00036158665083813247,0.13844532479987826,0.1218411951578422,0.017515725665314674,0.02758024485368406,6
G_219101992_kappa_1_11,0.4111041954396407,0.5048384045417171,0.5663591564046954,0.4596757809650092,0.4152770033852881,5
G_219101992_kappa_0.5_23,0.23437918820352074,0.49405706538626126,0.5958296795315017,0.35022927694499684,0.3396542769238638,7
G_219101992_kappa_4_25,0.004281318326365573,0.2028030598269539,0.22533174329989003,0.06880730693723025,0.09110076568402187,5
G_219101992_kappa_0.5_39,0.0192803137382487,0.015814162172071267,0.07582634108161224,0.1347023948593538,0.14123302313523423,5
G_219101992_kappa_8_8,6.549234634277727e-07,0.046538064090522635,0.05835855762836151,0.0029908254883061025,0.012199807221716142,7
G_219101992_kappa_0.5_49,0.03443383020388481,0.01966126341748009,0.06981862093374192,0.18026885462273384,0.1740065546423116,9
G_219101992_kappa_0.5_11,0.9691167876423735,0.9315964686921687,0.9555119403750058,0.8776811542907716,0.8362418400582884,5
G_219101992_kappa_4_5,0.0056002393063026325,0.2716865470980432,0.2462962037233758,0.09380507449063041,0.1432647457461932,5
G_219101992_kappa_0.25_25,0.2413144067460024,0.12618086518761906,0.08541899945231868,0.27901031597603515,0.2587159956611057,6
G_219101992_kappa_4_35,0.0029488348361993454,0.12016287200976661,0.17661388537759815,0.0313432673578445,0.06467235782151635,5
G_219101992_kappa_4_28,0.0619014771113925,0.43942727783487046,0.37984018800333696,0.2525036245091532,0.29054633611611547,5
G_219101992_kappa_0.5_29,0.4205945395757019,0.24049973720263984,0.35933583774424604,0.4027225516649644,0.3662185058194079,6
G_219101992_kappa_0.25_34,0.5158444871727763,0.7346383296509327,0.7345978194834781,0.5380385550231574,0.5103940362855934,7
G_219101992_kappa_4_19,0.0002578404433628447,0.06972893000513436,0.1150209000146345,0.03603030948584324,0.0583997376525493,6
G_219101992_kappa_2_29,0.0038336475067489574,0.21754852351432263,0.2008297930885643,0.05495841046338312,0.08759281212659702,5
G_219101992_kappa_0_34,0.46576060056079727,0.652978542679667,0.12890048818451583,0.5249281458372785,0.5326414258372745,5
G_219101992_kappa_1_0,0.5391854206876583,0.8472730991153479,0.7906343021958818,0.5361289710055596,0.5690205003363132,12
G_219101992_kappa_0_6,0.9062628335822399,0.8960055043622486,0.8227169511799617,0.850840506878493,0.7903476528069211,9
G_219101992_kappa_0.25_24,0.5748819512102634,0.20050840590005448,0.12237083992263442,0.593377598511238,0.5821588372997583,8
G_219101992_kappa_0.5_45,0.4624158667120143,0.5816322543854782,0.40663848929438917,0.4288661997601174,0.38464752597468,6
G_219101992_kappa_0.25_14,0.1282700596873337,0.5272211532914824,0.48579059259483937,0.22814539549120955,0.22906096814068685,8
G_219101992_kappa_1_9,0.03740128288154405,0.22966852882654676,0.32090365022499,0.13830557965165674,0.15753499837726453,5
G_219101992_kappa_0.25_44,0.07102774326436762,0.2632393884378086,0.36012353371944184,0.18345904059303556,0.22171966925519018,5
G_219101992_kappa_4_16,0.0015499233160581557,0.15879518551234617,0.09532758228354232,0.033232234823490844,0.02720642169546776,10
G_219101992_kappa_0_7,0.011132705608057184,0.0027161789673645614,0.022574505828400926,0.068653525801647,0.08242585118468478,8
G_219101992_kappa_1_16,0.10237143771763611,0.15691588291017022,0.3825375126039805,0.17779631221125972,0.17219071598992752,5
G_219101992_kappa_2_20,0.019094667954598816,0.3132031328347814,0.2782997460915907,0.09722513817784392,0.08160633591880073,5
G_219101992_kappa_0.25_3,0.056329336206575605,0.06791022296711313,0.10433760643598011,0.1701276894186043,0.2222158793738932,6
G_219101992_kappa_0.25_43,0.5400846573062759,0.22716498528279105,0.18842560299125843,0.5010318593476798,0.49347016331902266,5
G_219101992_kappa_0.25_40,0.30012454982148307,0.17258896749901864,0.4187213614967521,0.27917204647526545,0.46750121189620425,5
G_219101992_kappa_8_48,0.0027341771043351637,0.17067719087567146,0.15385825007822185,0.04141098615651957,0.058999330753478976,6
G_219101992_kappa_0.25_36,0.2479692310283811,0.10553432348006975,0.09541572629051942,0.24144954154807194,0.3133166765329681,5
G_219101992_kappa_4_26,0.010899660103256067,0.17864248239892155,0.23694735447096948,0.11000207237032006,0.12472093966237159,5
G_219101992_kappa_0.5_44,0.40012020655419134,0.42134224866976255,0.7228974567254636,0.3769519028975974,0.5238936681600709,5
G_219101992_kappa_1_32,0.16639267032693172,0.11811305802181327,0.06693456895497563,0.26277920886147343,0.18340964400870624,6
G_219101992_kappa_4_4,0.000708587201997598,0.18252731131105626,0.15485154382408206,0.07366990862474498,0.0999657942458892,5
G_219101992_kappa_0.25_29,0.6123459722624016,0.6038390913218699,0.804524478504812,0.500051091876204,0.6122890014858176,8
G_219101992_kappa_0_35,0.1423976088172455,0.43423650211872933,0.4227598058934777,0.23719924030030826,0.25850718966367103,5
G_219101992_kappa_8_10,0.0019031573444933305,0.15623916601079435,0.14263929692100796,0.0449920686363864,0.06396762494206343,7
G_219101992_kappa_1_40,0.7498433018632882,0.38700094116445527,0.10169643315141919,0.6755024601752392,0.6133692604278026,5
G_219101992_kappa_1_26,0.8668733492926606,0.48284207537511203,0.423530218468973,0.804470549233055,0.7760550265246926,5
G_219101992_kappa_4_40,1.426440765202656e-05,0.04330889238974256,0.0616408445774973,0.011885745637897703,0.014542613312450497,8
G_219101992_kappa_2_40,0.2600045911006681,0.4251867197581495,0.5593893977852014,0.2582221455075279,0.30947192221613706,5
G_219101992_kappa_4_42,0.0014801785345790052,0.16290009570696495,0.15630799473129475,0.04289309973367793,0.06272986920834164,8
G_219101992_kappa_8_11,0.022722253095603866,0.09944542377832555,0.2657152348230962,0.057617019832876634,0.12372888129163587,6
G_219101992_kappa_8_35,0.02690297635441285,0.21079884079451716,0.3514628859481256,0.1934062922897858,0.24864667421838516,6
G_219101992_kappa_0.5_42,0.1001197352615804,0.18185278215923284,0.2631180064466343,0.23803282742568324,0.24355252423891208,5
G_219101992_kappa_2_19,0.1412348518722394,0.5193247759821304,0.38376813969980605,0.21082431577546817,0.30164592403663987,5
