Host_ID_0.25,Kappa_0.25,Center_0.25,TS_{VM}_0.25,Host_ID,Kappa,Center,TS_{VM},Host_ID_0.5,Kappa_0.5,Center_0.5,TS_{VM}_0.5,Host_ID_1,Kappa_1,Center_1,TS_{VM}_1,Host_ID_2,Kappa_2,Center_2,TS_{VM}_2,Host_ID_4,Kappa_4,Center_4,TS_{VM}_4,Host_ID_8,Kappa_8,Center_8,TS_{VM}_8
G_219101992_kappa_0.25_1,1.09,0.205,2.4,G_219101992_kappa_0_0,1.64,0.762,3.6,G_219101992_kappa_0.5_0,1.39,0.676,2.8,G_219101992_kappa_1_0,0.124,0.652,0.092,G_219101992_kappa_2_1,1.84,0.891,4.1,G_219101992_kappa_4_0,13.9,0.492,21,G_219101992_kappa_8_0,5.59,0.51,15
G_219101992_kappa_0.25_14,1.03,0.72,3.6,G_219101992_kappa_0_12,1.67,0.675,3.7,G_219101992_kappa_0.5_1,1.2,0.84,3.4,G_219101992_kappa_1_11,1.33,0.574,3.3,G_219101992_kappa_2_11,1.09,0.596,1.9,G_219101992_kappa_4_10,3.29,0.46,7.2,G_219101992_kappa_8_10,4.65,0.49,16
G_219101992_kappa_0.25_15,0.858,0.511,1.9,G_219101992_kappa_0_15,1.24,0.565,3,G_219101992_kappa_0.5_10,0.685,0.7,0.86,G_219101992_kappa_1_15,0,0,0,G_219101992_kappa_2_12,14.5,0.74,14,G_219101992_kappa_4_13,2.31,0.507,5.3,G_219101992_kappa_8_11,1.95,0.556,6.6
G_219101992_kappa_0.25_18,0.319,0.901,0.35,G_219101992_kappa_0_19,0.924,0.774,1.8,G_219101992_kappa_0.5_11,0,0.493,0,G_219101992_kappa_1_16,1.54,0.548,4.1,G_219101992_kappa_2_13,0.92,0.443,1.5,G_219101992_kappa_4_16,2.94,0.538,17,G_219101992_kappa_8_12,7.12,0.516,11
G_219101992_kappa_0.25_19,3.11,0.618,14,G_219101992_kappa_0_2,0,0.665,0,G_219101992_kappa_0.5_13,0.129,0.458,0.033,G_219101992_kappa_1_19,3.4,0.563,7.4,G_219101992_kappa_2_16,3.17,0.393,8.8,G_219101992_kappa_4_17,2.83,0.599,8.1,G_219101992_kappa_8_13,15.2,0.512,14
G_219101992_kappa_0.25_2,0.657,0.321,1.6,G_219101992_kappa_0_21,0.535,0.528,0.68,G_219101992_kappa_0.5_16,1.42,0.445,2.9,G_219101992_kappa_1_2,3.39,0.657,13,G_219101992_kappa_2_18,2.12,0.533,7.3,G_219101992_kappa_4_18,4.59,0.491,8.9,G_219101992_kappa_8_15,4.91,0.456,9.2
G_219101992_kappa_0.25_23,0.758,0.756,1,G_219101992_kappa_0_23,3.49,0.887,9.4,G_219101992_kappa_0.5_17,1.47,0.424,3.1,G_219101992_kappa_1_20,1.33,0.505,2.7,G_219101992_kappa_2_19,1.94,0.598,5.5,G_219101992_kappa_4_19,13.7,0.553,20,G_219101992_kappa_8_18,45,0.511,19
G_219101992_kappa_0.25_24,0.63,0.672,1.5,G_219101992_kappa_0_30,0,0.584,0,G_219101992_kappa_0.5_18,0,0.0859,0,G_219101992_kappa_1_24,3.95,0.54,8.2,G_219101992_kappa_2_20,4.06,0.515,10,G_219101992_kappa_4_22,8.75,0.56,12,G_219101992_kappa_8_2,12,0.504,16
G_219101992_kappa_0.25_25,0,0.405,0,G_219101992_kappa_0_34,0.657,0.862,1,G_219101992_kappa_0.5_21,0.845,0.283,1.3,G_219101992_kappa_1_26,0.314,0.802,0.24,G_219101992_kappa_2_23,7.57,0.438,11,G_219101992_kappa_4_23,1.72,0.501,5.7,G_219101992_kappa_8_23,7.68,0.465,11
G_219101992_kappa_0.25_27,0,0.569,0,G_219101992_kappa_0_35,1.89,0.424,5.4,G_219101992_kappa_0.5_22,10.4,0.682,13,G_219101992_kappa_1_3,3.81,0.591,10,G_219101992_kappa_2_26,22.7,0.435,16,G_219101992_kappa_4_25,6.06,0.546,13,G_219101992_kappa_8_25,8.33,0.478,14
G_219101992_kappa_0.25_29,0,0.584,0,G_219101992_kappa_0_36,1.19,0.578,2.8,G_219101992_kappa_0.5_23,0,0.134,0,G_219101992_kappa_1_32,1.67,0.861,5.5,G_219101992_kappa_2_27,21.8,0.499,16,G_219101992_kappa_4_26,5.39,0.549,12,G_219101992_kappa_8_27,21.2,0.453,15
G_219101992_kappa_0.25_3,1.71,0.733,5.7,G_219101992_kappa_0_37,0.99,0.959,1.7,G_219101992_kappa_0.5_29,0.875,0.297,2,G_219101992_kappa_1_37,1.12,0.635,4,G_219101992_kappa_2_28,0.224,0.813,0.099,G_219101992_kappa_4_28,2.79,0.524,8,G_219101992_kappa_8_28,11.8,0.546,20
G_219101992_kappa_0.25_31,1.81,0.324,4.1,G_219101992_kappa_0_40,0,0.113,0,G_219101992_kappa_0.5_30,2.37,0.743,5.5,G_219101992_kappa_1_40,0,0.634,0,G_219101992_kappa_2_29,9.2,0.482,15,G_219101992_kappa_4_31,1.71,0.567,3.8,G_219101992_kappa_8_34,6.31,0.484,16
G_219101992_kappa_0.25_33,6.45,0.15,10,G_219101992_kappa_0_41,10.2,0.79,12,G_219101992_kappa_0.5_31,0,0.524,0,G_219101992_kappa_1_45,0,0.626,0,G_219101992_kappa_2_36,0.304,0.494,0.18,G_219101992_kappa_4_32,2.97,0.568,6.7,G_219101992_kappa_8_35,1.6,0.483,5.2
G_219101992_kappa_0.25_34,0.76,0.82,1.8,G_219101992_kappa_0_44,1.22,0.67,2.3,G_219101992_kappa_0.5_33,2.1,0.439,6,G_219101992_kappa_1_48,25.2,0.394,16,G_219101992_kappa_2_37,6.74,0.481,19,G_219101992_kappa_4_35,10.3,0.437,16,G_219101992_kappa_8_36,1.94,0.547,5.5
G_219101992_kappa_0.25_36,1.14,0.156,2.6,G_219101992_kappa_0_48,2.93,0.442,6.6,G_219101992_kappa_0.5_34,0,0.0227,0,G_219101992_kappa_1_7,9.96,0.64,12,G_219101992_kappa_2_39,12.8,0.437,13,G_219101992_kappa_4_39,6.97,0.503,16,G_219101992_kappa_8_37,2.74,0.53,6.3
G_219101992_kappa_0.25_39,1.12,0.516,2,G_219101992_kappa_0_5,1.14,0.545,3.7,G_219101992_kappa_0.5_37,1.52,0.176,3.2,G_219101992_kappa_1_9,3,0.559,8.4,G_219101992_kappa_2_40,1.52,0.496,4,G_219101992_kappa_4_4,15.3,0.463,18,G_219101992_kappa_8_38,9.37,0.516,21
G_219101992_kappa_0.25_40,1.15,0.409,2.7,G_219101992_kappa_0_6,0,0.502,0,G_219101992_kappa_0.5_38,0.946,0.708,1.5,,,,,G_219101992_kappa_2_45,47.5,0.408,23,G_219101992_kappa_4_40,12.2,0.529,26,G_219101992_kappa_8_39,4.59,0.517,11
G_219101992_kappa_0.25_42,0.459,0.926,0.4,G_219101992_kappa_0_7,2.13,0.725,9.8,G_219101992_kappa_0.5_39,4.05,0.717,10,,,,,G_219101992_kappa_2_48,1.97,0.423,4.5,G_219101992_kappa_4_41,14.1,0.43,14,G_219101992_kappa_8_43,2.92,0.597,8.3
G_219101992_kappa_0.25_43,1.05,0.715,2.3,,,,,G_219101992_kappa_0.5_41,0.477,0.793,0.87,,,,,G_219101992_kappa_2_5,481,0.456,28,G_219101992_kappa_4_42,3.16,0.486,14,G_219101992_kappa_8_47,16.1,0.477,18
G_219101992_kappa_0.25_44,1.87,0.97,5.3,,,,,G_219101992_kappa_0.5_42,2.31,0.64,6.7,,,,,G_219101992_kappa_2_9,1.33,0.557,2.6,G_219101992_kappa_4_43,5.89,0.51,10,G_219101992_kappa_8_48,6.8,0.518,16
,,,,,,,,G_219101992_kappa_0.5_44,0.799,0.285,1.4,,,,,,,,,G_219101992_kappa_4_45,2.63,0.593,6.1,G_219101992_kappa_8_49,8.97,0.479,12
,,,,,,,,G_219101992_kappa_0.5_45,0.978,0.461,2.4,,,,,,,,,G_219101992_kappa_4_49,28.4,0.499,21,G_219101992_kappa_8_7,10.3,0.466,22
,,,,,,,,G_219101992_kappa_0.5_46,1.53,0.408,3.3,,,,,,,,,G_219101992_kappa_4_5,5.76,0.501,12,G_219101992_kappa_8_8,43.6,0.532,32
,,,,,,,,G_219101992_kappa_0.5_47,0.469,0.418,0.42,,,,,,,,,G_219101992_kappa_4_7,2.3,0.543,9.3,,,,
,,,,,,,,G_219101992_kappa_0.5_49,0,0.0101,0,,,,,,,,,G_219101992_kappa_4_8,11.6,0.549,13,,,,
,,,,,,,,G_219101992_kappa_0.5_5,3.01,0.54,6.8,,,,,,,,,,,,,,,,
,,,,,,,,G_219101992_kappa_0.5_6,3.8,0.561,8,,,,,,,,,,,,,,,,
,,,,,,,,G_219101992_kappa_0.5_8,0,0.633,0,,,,,,,,,,,,,,,,
