Host_ID,#,Flare_epcoh_TESS,Fl_Epochh,a,b,Teff,abb,Phase,Obs_time,Chi_Sq
M_219101992_0_kappa_0,1,1683.830422,2458683.83,1.161211398,-2.139558096,4000,1,0.709269845,972000,2.323333579
M_219101992_0_kappa_0,2,1685.166527,2458685.167,0.698444321,-2.434470393,4000,1,0.976490781,972000,6.605299939
M_219101992_0_kappa_0,3,1704.940066,2458704.94,1.737785464,-2.313494192,4000,1,0.931198684,972000,0.013760313
M_219101992_0_kappa_0,1,1701.101193,2458701.101,0.930557988,-2.60116139,4000,1,0.784816986,972000,4.002931044
M_219101992_0_kappa_0,1,1699.658145,2458699.658,1.284601514,-2.208746463,4000,1,0.608205933,972000,1.553681361
M_219101992_0_kappa_0,2,1700.315086,2458700.315,1.647780201,-1.752209345,4000,1,0.739594176,972000,0.279956029
M_219101992_0_kappa_0,3,1703.084518,2458703.085,1.181279526,-2.759941276,4000,1,0.293480589,972000,1.318632463
M_219101992_0_kappa_0,1,1688.7429,2458688.743,1.43209775,-2.796668236,4000,1,0.585715012,972000,0.223030286
M_219101992_0_kappa_0,1,1700.601196,2458700.601,0.880606002,-2.558059428,4000,1,0.116337657,972000,4.650368752
M_219101992_0_kappa_0,2,1701.138693,2458701.139,1.644017857,-3.042129089,4000,1,0.223837153,972000,0.469346883
M_219101992_0_kappa_0,1,1687.804015,2458687.804,1.145109549,-2.478186591,4000,1,0.914630062,972000,0.230130298
M_219101992_0_kappa_0,2,1692.187333,2458692.187,0.749916614,-1.498421002,4000,1,0.791293669,972000,40.44399716
M_219101992_0_kappa_0,4,1707.835891,2458707.836,1.060479961,-2.609035426,4000,1,0.921005166,972000,0.944922153
M_219101992_0_kappa_0,1,1684.849862,2458684.85,1.513299159,-2.959984715,4000,1,0.128078432,972000,0.236496123
M_219101992_0_kappa_0,1,1699.653978,2458699.654,1.387213498,-2.944914128,4000,1,0.376878061,972000,0.790873616
M_219101992_0_kappa_0,2,1699.753978,2458699.754,1.683294013,-4.467875381,4000,1,0.396877961,972000,0.182446896
M_219101992_0_kappa_0,3,1700.269253,2458700.269,1.212706243,-2.79916764,4000,1,0.499933011,972000,0.752163614
M_219101992_0_kappa_0,4,1704.333124,2458704.333,1.483901342,-2.907140824,4000,1,0.312707284,972000,0.200102733
M_219101992_0_kappa_0,1,1702.88313,2458702.883,1.326318201,-2.652064247,4000,1,0.007863132,972000,0.25861903
M_219101992_0_kappa_0,2,1702.97063,2458702.971,1.687491172,-5.431167836,4000,1,0.025363059,972000,0.331575459
M_219101992_0_kappa_0,1,1685.760969,2458685.761,0.830939241,-1.806231911,4000,1,0.913445143,972000,8.405352207
M_219101992_0_kappa_0,2,1690.762338,2458690.762,1.423241194,-2.773114044,4000,1,0.913718978,972000,0.383739137
M_219101992_0_kappa_0,1,1689.81373,2458689.814,0.806891871,-2.584227255,4000,1,0.581345552,972000,6.325977434
M_219101992_0_kappa_0,2,1695.692882,2458695.693,0.657425404,-1.115853462,4000,1,0.757176031,972000,38.83675492
M_219101992_0_kappa_0,1,1691.017892,2458691.018,1.208081317,-2.015034429,4000,1,0.397688025,972000,0.500168082
M_219101992_0_kappa_0,2,1704.233125,2458704.233,0.909697283,-2.702160694,4000,1,0.040734442,972000,5.778099454
M_219101992_0_kappa_0,2,1705.391454,2458705.391,1.540904956,-3.109834914,4000,1,0.467846681,972000,0.128582889
M_219101992_0_kappa_0,3,1706.145618,2458706.146,1.665899341,-2.510389682,4000,1,0.618679514,972000,0.218564935
M_219101992_0_kappa_0,1,1683.802645,2458683.803,1.532863758,-3.224901289,4000,1,0.01834831,972000,0.268678674
M_219101992_0_kappa_0,3,1709.862276,2458709.862,1.485254587,-3.012015272,4000,1,0.230274676,972000,0.352929081
M_219101992_0_kappa_0,1,1689.566509,2458689.567,0.889403541,-2.701841797,4000,1,0.786272107,972000,6.292622402
M_219101992_0_kappa_0,2,1702.605353,2458702.605,1.218867072,-2.728550819,4000,1,0.39404106,972000,0.605379015
M_219101992_0_kappa_0,3,1702.769241,2458702.769,1.694486,-4.809434487,4000,1,0.4268187,972000,0.169962243
M_219101992_0_kappa_0,5,1705.62062,2458705.621,1.030142975,-2.727696194,4000,1,0.997094311,972000,3.070331603
M_219101992_0_kappa_0,1,1701.840079,2458701.84,0.87051469,-2.73155047,4000,1,0.024166352,972000,6.005960216
M_219101992_0_kappa_0,2,1707.25117,2458707.251,1.035837072,-2.652695309,4000,1,0.687537566,972000,2.80781337
M_219101992_0_kappa_0,1,1704.690067,2458704.69,1.282928654,-2.639971827,4000,1,0.404902742,972000,0.543358718
M_219101992_0_kappa_0,2,1704.763678,2458704.764,1.662193368,-4.566370623,4000,1,0.419624911,972000,0.304511845
M_219101992_1_kappa_0,1,1684.299864,2458684.3,1.289200278,-2.711806179,4000,1,0.104547179,972000,1.096343395
M_219101992_1_kappa_0,1,1691.983167,2458691.983,1.502124498,-3.147698782,4000,1,0.259023003,972000,0.22889816
M_219101992_1_kappa_0,2,1692.290111,2458692.29,1.598631399,-3.127529619,4000,1,0.320411717,972000,0.45437305
M_219101992_1_kappa_0,3,1701.035916,2458701.036,1.520749864,-3.053793574,4000,1,0.069572714,972000,0.15808962
M_219101992_1_kappa_0,4,1702.856741,2458702.857,1.656827117,-3.488880498,4000,1,0.433737777,972000,0.277684248
M_219101992_1_kappa_0,5,1704.958122,2458704.958,1.2814835,-2.433591447,4000,1,0.854013922,972000,0.206516082
M_219101992_1_kappa_0,1,1685.865135,2458685.865,1.185298519,-2.420644885,4000,1,0.828217067,972000,0.524098545
M_219101992_1_kappa_0,1,1684.776251,2458684.776,1.522862057,-3.252237744,4000,1,0.68469964,972000,0.228395073
M_219101992_1_kappa_0,2,1705.915063,2458705.915,1.213116622,-2.765384742,4000,1,0.368487713,972000,0.903328643
M_219101992_1_kappa_0,1,1700.14842,2458700.148,1.425847389,-2.634642441,4000,1,0.140148059,972000,0.414293813
M_219101992_1_kappa_0,1,1695.044272,2458695.044,1.548812196,-3.123849654,4000,1,0.337769702,972000,0.170627299
M_219101992_1_kappa_0,2,1695.127605,2458695.128,1.657520969,-3.267422134,4000,1,0.35443635,972000,0.241509354
M_219101992_1_kappa_0,1,1693.024831,2458693.025,1.563872515,-3.285129582,4000,1,0.305136682,972000,0.075100605
M_219101992_1_kappa_0,2,1693.716496,2458693.716,1.6645448,-2.21755514,4000,1,0.443469694,972000,0.256148123
M_219101992_1_kappa_0,3,1702.338688,2458702.339,1.395083376,-2.983920428,4000,1,0.167908014,972000,0.362135041
M_219101992_1_kappa_0,5,1703.247017,2458703.247,1.181813823,-2.186299433,4000,1,0.34957392,972000,0.760748468
M_219101992_1_kappa_0,1,1694.147051,2458694.147,1.248798671,-2.097098549,4000,1,0.004083097,972000,0.413198266
M_219101992_1_kappa_0,3,1705.987285,2458705.987,1.263519352,-2.412191344,4000,1,0.372129927,972000,0.483735084
