Host_ID,p_KU,p_KS,p_AD,p_KS_Samp,p_AD_Samp,N,Host_ID_0.25,p_KU_0.25,p_KS_0.25,p_AD_0.25,p_KS_Samp_0.25,p_AD_Samp_0.25,N_0.25,Host_ID_0.5_0.5,p_KU_0.5,p_KS_0.5,p_AD_0.5,p_KS_Samp_0.5,p_AD_Samp_0.5,N_0.5,Host_ID,p_KU_1,p_KS_1,p_AD_1,p_KS_Samp_1,p_AD_Samp_1,N_1,Host_ID_2,p_KU_2,p_KS_2,p_AD_2,p_KS_Samp_2,p_AD_Samp_2,N_2,Host_ID_4,p_KU_4,p_KS_4,p_AD_4,p_KS_Samp_4,p_AD_Samp_4,N_4,Host_ID_8,p_KU_8,p_KS_8,p_AD_8,p_KS_Samp_8,p_AD_Samp_8,N_8
M_219101992_0_kappa_0,0.510268183,0.827392276,0.63525672,0.592919436,0.661962536,38,M_219101992_0_kappa_0.25,0.246824044,0.58344947,0.755309234,0.324507454,0.34422921,29,M_219101992_0_kappa_0.5,0.512696997,0.783756773,0.735479987,0.442179353,0.478237359,38,M_219101992_0_kappa_1,0.001185803,0.039554439,0.056012133,0.024074916,0.021505014,36,M_219101992_0_kappa_2,4.05E-06,0.00053308,0.00412635,0.000827665,0.000923488,29,M_219101992_0_kappa_4,6.90E-10,0.001103554,0.002833686,0.000437626,0.000554964,24,M_219101992_0_kappa_8,2.30E-12,0.00194528,0.001838882,0.000167949,0.000473356,19
M_219101992_1_kappa_0,0.235796896,0.205697866,0.292834661,0.355273617,0.31172587,52,M_219101992_1_kappa_0.25,0.191202354,0.383194431,0.651619296,0.227682262,0.36757384,21,M_219101992_1_kappa_0.5,0.017891901,0.073642082,0.118976896,0.054606181,0.088001126,36,M_219101992_1_kappa_1,0.203718115,0.391537449,0.415480105,0.302178793,0.350980448,24,M_219101992_1_kappa_2,7.80E-08,0.009766033,0.005051044,0.001567352,0.001195916,24,M_219101992_1_kappa_4,2.69E-12,2.54E-05,0.000529406,0.000244469,0.00037624,28,M_219101992_1_kappa_8,5.08E-11,0.002637645,0.002039679,0.000323879,0.0003451,22
M_219101992_10_kappa_0,0.874776362,0.945732342,0.90615284,0.769195326,0.673896484,29,M_219101992_10_kappa_0.25,0.184053373,0.198520973,0.214434847,0.287779432,0.358969945,39,M_219101992_10_kappa_0.5,0.113502282,0.39555221,0.375068137,0.149760603,0.139916064,31,M_219101992_10_kappa_1,0.094014474,0.186777403,0.165634913,0.158632805,0.109851387,30,M_219101992_10_kappa_2,1.47E-06,0.011568648,0.016923727,0.003596202,0.004628569,20,M_219101992_10_kappa_4,8.22E-12,0.00154923,0.000642601,9.21E-05,0.000188337,27,M_219101992_10_kappa_8,2.98E-11,0.002415879,0.003683478,0.000170331,0.000464183,18
M_219101992_11_kappa_0,0.615458245,0.826960677,0.699795539,0.601354718,0.619852111,32,M_219101992_11_kappa_0.25,0.322980481,0.460499074,0.718828093,0.432625211,0.462305445,40,M_219101992_11_kappa_0.5,0.059156302,0.449343111,0.272699254,0.150107009,0.237660953,27,M_219101992_11_kappa_1,0.000783499,0.091700418,0.052977441,0.023621934,0.01895232,34,M_219101992_11_kappa_2,1.70E-07,0.008697788,0.003673619,0.00147174,0.000857413,29,M_219101992_11_kappa_4,3.20E-09,0.006404878,0.004961001,0.001028103,0.001518859,18,M_219101992_11_kappa_8,5.33E-10,0.004095504,0.001598471,0.000332375,0.000403325,23
M_219101992_12_kappa_0,0.52943728,0.740255511,0.429542474,0.536363503,0.462174956,54,M_219101992_12_kappa_0.25,0.897770269,0.853007676,0.890499897,0.805330038,0.754010979,38,M_219101992_12_kappa_0.5,0.793827689,0.868255178,0.634699187,0.717893472,0.70716811,30,M_219101992_12_kappa_1,0.001454555,0.021936638,0.049049107,0.035049025,0.024053869,35,M_219101992_12_kappa_2,4.89E-06,0.036728353,0.008897471,0.001978106,0.001342197,26,M_219101992_12_kappa_4,4.47E-08,0.005052862,0.007191,0.000871916,0.001650869,18,M_219101992_12_kappa_8,8.47E-10,0.006373338,0.002258098,0.000292995,0.000351461,21
M_219101992_13_kappa_0,0.445995858,0.627352202,0.503877729,0.384523832,0.260875468,36,M_219101992_13_kappa_0.25,0.00073504,0.054022171,0.056786651,0.033249947,0.032274575,41,M_219101992_13_kappa_0.5,0.02485636,0.027447669,0.11217737,0.077424296,0.081380944,33,M_219101992_13_kappa_1,0.010380347,0.163035317,0.132855613,0.086262837,0.080225449,26,M_219101992_13_kappa_2,6.05E-07,0.021081459,0.009823788,0.002828595,0.003275972,20,M_219101992_13_kappa_4,8.73E-08,0.006458026,0.004428957,0.00066169,0.000116864,22,M_219101992_13_kappa_8,3.08E-07,0.01961755,0.013956582,0.002189288,0.002595006,16
M_219101992_14_kappa_0,0.293107379,0.286294001,0.300582726,0.428466939,0.42838104,28,M_219101992_14_kappa_0.25,0.161735103,0.206443854,0.370444631,0.184687368,0.179410337,45,M_219101992_14_kappa_0.5,0.364389769,0.754550685,0.654729172,0.396401701,0.553092865,32,M_219101992_14_kappa_1,0.014658915,0.274056747,0.133835379,0.059933471,0.060434472,25,M_219101992_14_kappa_2,1.04E-06,0.026408263,0.020032409,0.002965664,0.00511635,15,M_219101992_14_kappa_4,7.92E-09,0.004827569,0.006563001,0.001332351,0.001069245,17,M_219101992_14_kappa_8,3.03E-13,0.000301261,0.000731598,7.74E-05,0.000215933,23
M_219101992_15_kappa_0,0.105306322,0.150434945,0.14634942,0.15657869,0.119812562,39,M_219101992_15_kappa_0.25,0.288850992,0.166392226,0.146654631,0.356462871,0.324677712,34,M_219101992_15_kappa_0.5,0.002082293,0.018645122,0.027909684,0.041790867,0.035350356,26,M_219101992_15_kappa_1,0.019087427,0.248991605,0.216839261,0.118167884,0.116282994,33,M_219101992_15_kappa_2,7.22E-07,0.008401315,0.006807696,0.002731213,0.001890144,28,M_219101992_15_kappa_4,1.14E-09,0.00522984,0.002732431,0.000415765,0.000829586,21,M_219101992_15_kappa_8,1.11E-11,0.000302168,0.001006574,0.000192029,0.000459625,26
M_219101992_16_kappa_0,0.613317425,0.239025603,0.278576401,0.536172062,0.53090995,41,M_219101992_16_kappa_0.25,0.086515034,0.20816556,0.271592833,0.217511913,0.218291422,45,M_219101992_16_kappa_0.5,0.057283286,0.0826461,0.175131119,0.135533269,0.116614529,34,M_219101992_16_kappa_1,7.68E-05,0.044868754,0.063386638,0.011741485,0.028300521,24,M_219101992_16_kappa_2,3.47E-05,0.040457971,0.016193859,0.008029097,0.004892862,28,M_219101992_16_kappa_4,9.54E-08,0.006019093,0.00420375,0.000711711,0.000622418,23,M_219101992_16_kappa_8,3.04E-05,0.015948021,0.038904951,0.008645561,0.01108472,13
M_219101992_17_kappa_0,0.545425375,0.528571918,0.692919557,0.639749794,0.620178359,40,M_219101992_17_kappa_0.25,0.342900265,0.524707445,0.631140903,0.454277744,0.429787542,37,M_219101992_17_kappa_0.5,0.012970905,0.070476805,0.192706089,0.104095061,0.211986231,26,M_219101992_17_kappa_1,0.010443695,0.275595864,0.075753089,0.03796394,0.029148136,30,M_219101992_17_kappa_2,0.000386422,0.111001284,0.047609238,0.016735108,0.018063834,28,M_219101992_17_kappa_4,2.61E-06,0.014649755,0.015209963,0.005208711,0.005002559,19,M_219101992_17_kappa_8,2.43E-10,0.002765503,0.00569942,0.000483266,0.000875316,16
